City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
126,Saurimo,-9.6608,20.3916,85.53,24,57,0.81,few clouds,AO,5/21/2022 14:51
127,Pimentel,-6.8367,-79.9342,68.29,73,0,11.5,broken clouds,PE,5/21/2022 14:51
128,Ayolas,-27.4,-56.9,63.9,59,27,4.56,light intensity drizzle rain,PY,5/21/2022 14:51
129,Kantang,7.4054,99.5156,79.77,86,100,4.88,overcast clouds,TH,5/21/2022 14:51
130,Broken Hill,-31.95,141.4333,54.25,93,100,12.06,clear sky,AU,5/21/2022 14:51
131,Ponta Do Sol,32.6667,-17.1,75,76,70,1.07,shower rain,PT,5/21/2022 14:51
132,Lorengau,-2.0226,147.2712,81.21,82,100,8.48,clear sky,PG,5/21/2022 14:51
133,Itarema,-2.9248,-39.9167,84.99,65,17,7.81,clear sky,BR,5/21/2022 14:51
134,Jobner,26.9667,75.3833,99.82,14,2,7.52,overcast clouds,IN,5/21/2022 14:51
135,Ishigaki,24.3448,124.1572,73.53,88,100,5.75,overcast clouds,JP,5/21/2022 14:51
136,Teeli,51.0333,90.2333,62.85,39,9,1.61,few clouds,RU,5/21/2022 14:51
137,Strezhevoy,60.7333,77.5889,49.08,65,73,7.23,broken clouds,RU,5/21/2022 14:51
138,Gambela,8.25,34.5833,90.32,46,89,4.65,light intensity drizzle rain,ET,5/21/2022 14:51
139,Vaxjo,56.8777,14.8091,51.85,93,75,8.05,overcast clouds,SE,5/21/2022 14:51
140,Verkhnyaya Inta,65.9811,60.3094,40.75,58,100,13.67,clear sky,RU,5/21/2022 14:51
141,Lichinga,-13.3128,35.2406,65.52,75,93,2.33,shower rain,MZ,5/21/2022 14:51
142,Fairbanks,64.8378,-147.7164,55.22,62,0,3.44,clear sky,US,5/21/2022 14:47
143,Belaya Gora,68.5333,146.4167,43.25,83,61,3.15,clear sky,RU,5/21/2022 14:51
